Data;Dia;Hora;Modalidade
25/07/2024;Quinta-feira;4h30 ;Tiro com arco feminino: Ana Luiz Caetano
25/07/2024;Quinta-feira;9h ;Handebol feminino: Espanha x Brasil
25/07/2024;Quinta-feira;9h15 ;Tiro com arco masculino: Marcus D’almeida
25/07/2024;Quinta-feira;14h ;Futebol feminino: Nigéria x Brasil
26/07/2024;Sexta-feira;14h30 ;Cerimônia de abertura
27/07/2024;Sábado;3h30 ;Badminton simples feminino: Juliana Vieira
27/07/2024;Sábado;3h30 ;Badminton simples masculino: Ygor Coelho
27/07/2024;Sábado;4h ;Tiro esportivo carabina: Geovana Meyer
27/07/2024;Sábado;5h ;Remo masculino: Lucas Verthein
27/07/2024;Sábado;4h30 ;Hipismo CCE: equipes e individual
27/07/2024;Sábado;5h ;Judô masculino e feminino
27/07/2024;Sábado;5h ;Esgrima espada feminino: Nathalie Moellhausen
27/07/2024;Sábado;5h ;Remo feminino: Beatriz Tavares
27/07/2024;Sábado;5h30 ;Tiro esportivo pistola de ar: Philipe Chateaubrian
27/07/2024;Sábado;6h ;Ginástica artística masculina: Arthur Nory e Diogo
27/07/2024;Sábado;6h ;Natação
27/07/2024;Sábado;7h ;Skate street masculino: Felipe Gustavo, Giovanni V
27/07/2024;Sábado;7h ;Tênis simples e duplas masculino e feminino
27/07/2024;Sábado;8h ;Vôlei masculino: Itália x Brasil
27/07/2024;Sábado;9h30 ;Ciclismo estrada contrarrelógio individual feminin
27/07/2024;Sábado;10h ;Tênis de mesa masculino e feminino
27/07/2024;Sábado;10h ;Canoagem slalom: Ana Sátila e Pedro Gonçalves
27/07/2024;Sábado;10h30 ;Boxe masculino e feminino
27/07/2024;Sábado;11h ;Judô masculino e feminino: ouro
27/07/2024;Sábado;11h30 ;Ciclismo estrada contrarrelógio individual masculi
27/07/2024;Sábado;12h ;Skate street masculino: final
27/07/2024;Sábado;12h15 ;Basquete masculino: França x Brasil
27/07/2024;Sábado;14h ;Surfe masculino
27/07/2024;Sábado;14h ;Vôlei de praia masculino
27/07/2024;Sábado;15h40 ;Natação 400m livre feminino, masculino e revezamen
27/07/2024;Sábado;18h40 ;Surfe feminino
28/07/2024;Domingo;3h30 ;Badminton simples feminino: Juliana Vieira
28/07/2024;Domingo;3h30 ;Badminton simples masculino: Ygor Coelho
28/07/2024;Domingo;4h ;Handebol feminino: Brasil x Hungria
28/07/2024;Domingo;4h15 ;Tiro esportivo carabina feminina: Geovana Meyer
28/07/2024;Domingo;5h30 ;Tiro esportivo pistola de ar: final
28/07/2024;Domingo;4h30 ;Esgrima florete feminino: Mariana Pistoia
28/07/2024;Domingo;4h30 ;Ginástica artística feminina: Flávia Saraiva, Jade
28/07/2024;Domingo;4h30 ;Remo single skiff
28/07/2024;Domingo;5h ;Judô masculino e feminino
28/07/2024;Domingo;5h ;Tênis de mesa masculino e feminino
28/07/2024;Domingo;5h30 ;Hipismo CCE: equipes e individual
28/07/2024;Domingo;6h ;Natação
28/07/2024;Domingo;6h ;Boxe masculino e feminino
28/07/2024;Domingo;6h ;Vôlei de praia feminino
28/07/2024;Domingo;7h ;Skate street feminino: Rayssa Leal, Gabriela Mazet
28/07/2024;Domingo;7h ;Tênis simples masculino e feminino
28/07/2024;Domingo;7h ;Vela
28/07/2024;Domingo;9h10 ;Ciclismo mountain bike feminino: Raiza Goulão
28/07/2024;Domingo;10h30 ;canoagem slalom feminino: Ana Sátila
28/07/2024;Domingo;11h ;Vôlei de praia feminino
28/07/2024;Domingo;11h ;Judô masculino e feminino: ouro
28/07/2024;Domingo;12h ;Rugby feminino: França x Brasil
28/07/2024;Domingo;12h ;Futebol feminino: Brasil x Japão
28/07/2024;Domingo;12h ;Skate street feminino: final
28/07/2024;Domingo;12h42 ;canoagem slalom feminino: final
28/07/2024;Domingo;14h ;Surfe feminino
28/07/2024;Domingo;15h ;Rugby feminino: EUA x Brasil
28/07/2024;Domingo;16h ;Vôlei de praia masculino
28/07/2024;Domingo;18h40 ;Surfe masculino
29/07/2024;Segunda-feira;4h15 ;Tiro Esportivo pistola de ar: Philipe Chateaubrian
29/07/2024;Segunda-feira;4h15 ;Tiro esportivo carabina feminina: final
29/07/2024;Segunda-feira;4h55 ;Esgrima florete masculino: Guilherme Toldo
29/07/2024;Segunda-feira;5h ;Judô masculino e feminino
29/07/2024;Segunda-feira;5h ;Tênis de mesa masculino e feminino
29/07/2024;Segunda-feira;5h10 ;Badminton simples feminino: Juliana Vieira
29/07/2024;Segunda-feira;6h ;Badminton simples masculino: Ygor Coelho
